"","group","pseudotime_bin_num","features","value","Geno","new_group"
"161","Kbk.3m.DMSO_PEG",7,"stage1_DAM1",1.68540127748099,"Kbk","Kbk.3m
(PEG)"
"162","Kbk.3m.DMSO_PEG",7,"stage2_DAM2",0.562484898823413,"Kbk","Kbk.3m
(PEG)"
"163","Kbk.3m.DMSO_PEG",8,"homeostatic3",2.98971865740135,"Kbk","Kbk.3m
(PEG)"
"164","Kbk.3m.DMSO_PEG",8,"stage1_DAM1",1.62166049956481,"Kbk","Kbk.3m
(PEG)"
"165","Kbk.3m.DMSO_PEG",8,"stage2_DAM2",0.536781355988937,"Kbk","Kbk.3m
(PEG)"
"166","Kbk.3m.DMSO_PEG",9,"homeostatic3",2.85901949890973,"Kbk","Kbk.3m
(PEG)"
"167","Kbk.3m.DMSO_PEG",9,"stage1_DAM1",1.5843749398218,"Kbk","Kbk.3m
(PEG)"
"168","Kbk.3m.DMSO_PEG",9,"stage2_DAM2",0.51113543997839,"Kbk","Kbk.3m
(PEG)"
"169","Kbk.3m.DMSO_PEG",10,"homeostatic3",2.87817968777718,"Kbk","Kbk.3m
(PEG)"
"170","Kbk.3m.DMSO_PEG",10,"stage1_DAM1",1.47249654922694,"Kbk","Kbk.3m
(PEG)"
"171","Kbk.3m.DMSO_PEG",10,"stage2_DAM2",0.441850195952719,"Kbk","Kbk.3m
(PEG)"
"172","Kbk.3m.DMSO_PEG",11,"homeostatic3",2.90700715890231,"Kbk","Kbk.3m
(PEG)"
"173","Kbk.3m.DMSO_PEG",11,"stage1_DAM1",1.44336077929855,"Kbk","Kbk.3m
(PEG)"
"174","Kbk.3m.DMSO_PEG",11,"stage2_DAM2",0.466290295266856,"Kbk","Kbk.3m
(PEG)"
"175","Kbk.3m.DMSO_PEG",12,"homeostatic3",2.86494181167221,"Kbk","Kbk.3m
(PEG)"
"176","Kbk.3m.DMSO_PEG",12,"stage1_DAM1",1.42769846160961,"Kbk","Kbk.3m
(PEG)"
"177","Kbk.3m.DMSO_PEG",12,"stage2_DAM2",0.437596656236044,"Kbk","Kbk.3m
(PEG)"
"178","Kbk.3m.DMSO_PEG",13,"homeostatic3",2.93653471614261,"Kbk","Kbk.3m
(PEG)"
"179","Kbk.3m.DMSO_PEG",13,"stage1_DAM1",1.47111210313231,"Kbk","Kbk.3m
(PEG)"
"180","Kbk.3m.DMSO_PEG",13,"stage2_DAM2",0.491246991649048,"Kbk","Kbk.3m
(PEG)"
"181","Kbk.3m.DMSO_PEG",14,"homeostatic3",2.88756463695532,"Kbk","Kbk.3m
(PEG)"
"182","Kbk.3m.DMSO_PEG",14,"stage1_DAM1",1.51936323530803,"Kbk","Kbk.3m
(PEG)"
